文件夹名,圣人名称,介绍,纪念日
圣女玛利亚•玛达肋纳•巴斯德-saint-1071602,圣女玛利亚•玛达肋纳•巴斯德,St. Mary Magdalem Postel,7月16日
圣女玛利亚•罗撒-saint-1121503,圣女玛利亚•罗撒,童贞伯来西亚仁爱婢女会创办人 St. Mary di Rosa 1813-1855,12月15日
圣女玛加利大-saint-1011903,圣女玛加利大,童贞蒙特利尔圣母会会祖 St. Margaret Bourgeoys 1620-1700,1月19日
圣女玛加利大-saint-1101602,圣女玛加利大,童贞 St. Margaret Mary,10月16日
圣女玛加利大•高多娜-saint-1022202,圣女玛加利大•高多娜,St. Margaret Cortona,2月22日
圣女玛珊利纳-saint-1071702,圣女玛珊利纳,St. Marcellina,7月17日
圣女玛蒂娜-saint-1013001,圣女玛蒂娜,童贞致命 St. Martina,1月30日
圣女玛达肋纳•嘉诺撒-saint-1050802,圣女玛达肋纳•嘉诺撒,St. Magdalen Di Canossa,5月8日
圣女白兰佳-saint-1100802,圣女白兰佳,St. Pelagia the Penitent,10月8日
圣女福辣-saint-1100503,圣女福辣,St. Flora of Beaulien,10月5日
圣女纪达-saint-1042701,圣女纪达,童贞 St. Zita,4月27日
圣女维芭达-saint-1050202,圣女维芭达,童贞殉道 St. Wibada,5月2日
圣女罗撒-saint-1082301,圣女罗撒,童贞 St. Rose of Lima,8月23日
圣女罗撒•薇台宝-saint-1090401,圣女罗撒•薇台宝,童贞 St. Rose of Viterbo,9月4日
圣女美狄黛-saint-1022601,圣女美狄黛,童贞 St. Mechtilde,2月26日
圣女若撒法•罗撒洛-saint-1120702,圣女若撒法•罗撒洛,童贞仁慈圣母女修会创办人 St. Josepha ROssello 1811-1880,12月7日
圣女菲洛美娜-saint-1081002,圣女菲洛美娜,St. Philomena,8月10日
圣女诺波加-saint-1091402,圣女诺波加,童贞 St. Notburga -1313,9月14日
圣女贝莱蒂-saint-1042402,圣女贝莱蒂,童贞善牧仁爱圣母会会祖 St. Pelletier,4月24日
圣女贝蒂拉-saint-1102001,圣女贝蒂拉,童贞 St. Bertilla Boscardin,10月20日
圣女贞德-saint-1053001,圣女贞德,童贞 St. Joan of Arc,5月30日
圣女路济亚-saint-1121301,圣女路济亚,圣路琪童贞殉道 St. Lucy,12月13日
圣女高莱德-saint-1030601,圣女高莱德,童贞 St. Colette,3月6日
圣妇丽达-saint-1052201,圣妇丽达,St. Rita of Cascia,5月22日
圣妇亚勿拉-saint-1080502,圣妇亚勿拉,殉道 St. Afra -304,8月5日
圣妇亚德莱-saint-1121601,圣妇亚德莱,St. Adelaide,12月16日
圣妇亚纳及若亚敬-saint-1072601,圣妇亚纳及若亚敬,St. Anne & St. Joachim,7月26日
圣妇伯尔都亚、圣妇斐利琪等殉道-saint-1030701,圣妇伯尔都亚、圣妇斐利琪等殉道,Ss. Perpertua Felicity and their Companions,3月7日
圣妇依撒伯尔-saint-1070401,圣妇依撒伯尔,St. Elizabeth of Portuga,7月4日
圣妇加大利纳•热那亚-saint-1091502,圣妇加大利纳•热那亚,St. Catherine of Genoa,9月15日
圣妇华德托蒂-saint-1040901,圣妇华德托蒂,St. Waldetrudis,4月9日
圣妇奥林比亚-saint-1121702,圣妇奥林比亚,St. Olympias 361-408,12月17日
圣妇巴蒂弟-saint-1013002,圣妇巴蒂弟,St. Bathildis,1月30日
圣妇幼梅肋尼亚-saint-1123102,圣妇幼梅肋尼亚,St. Melania the Younger -439,12月31日
圣妇彼利日大-saint-1072301,圣妇彼利日大,救世主会创始人 St. Bridget,7月23日
圣妇海伦-saint-1081801,圣妇海伦,St. Helen -330,8月18日
圣妇玛加利大-saint-1111601,圣妇玛加利大,St. Margaret of Scotland,11月16日
圣妇玛蒂达-saint-1031401,圣妇玛蒂达,St. Matilda,3月14日
圣妇芳济加-saint-1030901,圣妇芳济加,St. Frances of Rome,3月9日
圣妇若翰纳-saint-1020402,圣妇若翰纳,圣母领报会会祖 St. John of France,2月4日
圣妇若翰纳•方济加•尚达尔-saint-1121202,圣妇若翰纳•方济加•尚达尔,圣母往见会创办人 St. Jane Frances de Chantal -1641,12月12日
圣妇莫尼加-saint-1082701,圣妇莫尼加,St. Monica,8月27日
圣妇赫德维-saint-1101601,圣妇赫德维,St. Hedwig,10月16日
圣妇露易丝-saint-1031501,圣妇露易丝,仁爱女修会副会祖 St. Louisa De Marillac,3月15日
圣妇顾乃宫-saint-1030202,圣妇顾乃宫,St. Cunegund,3月2日
圣威利巴-saint-1110701,圣威利巴,欧德莱主教 St. Willbrord 658-739,11月7日
圣威廉-saint-1090201,圣威廉,洛斯奇主教 St. William of Rokide,9月2日
圣威廉•维吉尔-saint-1062501,圣威廉•维吉尔,维吉尔修院院长 St. William of Monte Vergine,6月25日
圣威弗烈-saint-1101201,圣威弗烈,约克主教 St. Wilfrid 709,10月12日
圣威德廉-saint-1071801,圣威德廉,乌德莱主教殉道 St. Frederick,7月18日
圣威纳巴-saint-1121801,圣威纳巴,院长 St. Wunibald,12月18日
圣婴西满和圣童威廉-saint-1032201,圣婴西满和圣童威廉,殉道者 Ss. Simen of Trent and William of Norwich,3月22日
圣孟泰诺、圣路琪及其它烈士-saint-1022402,圣孟泰诺、圣路琪及其它烈士,"殉道 Ss. Montantls, Lucius & their Companions",2月24日
圣安•贝兰•丝彤-saint-1010401,圣安•贝兰•丝彤,依丽莎白 St. Eizabeth Ann Bayley Seton,1月4日
圣安利日-saint-1120101,圣安利日,诺雷主教 St. Eligius -660,12月1日
圣安多宁-saint-1051001,圣安多宁,佛罗伦萨总主教 St. Antoninus,5月10日
圣安多尼-saint-1061301,圣安多尼,圣师 St. Antony of Padua,6月13日
圣安多尼•加烈-saint-1102401,圣安多尼•加烈,古巴总主教圣母无玷圣心传教会创办人 St. Antony Claret,10月24日
圣安多尼•匝加利-saint-1070501,圣安多尼•匝加利,圣保禄神职修会创办人 St. Antony Zaccaria,7月5日
圣安当院长-saint-1011701,圣安当院长,St. Antony the Great,1月17日
圣安德肋•亚委琳-saint-1111002,圣安德肋•亚委琳,St. Andrew Avellino,11月10日
圣安德莫-saint-1062601,圣安德莫,比利主教 St. Anthelm,6月26日
圣安日洛-saint-1050501,圣安日洛,殉道 St. Angelo,5月5日
圣安色莫-saint-1031802,圣安色莫,吕佳主教 St. Anselm,3月18日
圣安色莫-saint-1042101,圣安色莫,坎特伯里总主教圣师 St. Anseln,4月21日
圣小西默盎“石柱人”-saint-1090302,圣小西默盎“石柱人”,St. Simeon Stylite the Younger,9月3日
圣尼冈德、圣马星-saint-1061701,圣尼冈德、圣马星,殉道 Ss. Nicander and Marcian,6月17日
圣尼各老-saint-1120601,圣尼各老,米辣主教 St. Nicholas of Myra,12月6日
圣尼各老•多伦定-saint-1091001,圣尼各老•多伦定,St. Nicholas of Tolentino,9月10日
圣尼各老•比克及其它殉道烈士-saint-1070902,圣尼各老•比克及其它殉道烈士,Ss. Nicholas Pieck and his Companions,7月9日
圣尼格老•冯物洛-saint-1032101,圣尼格老•冯物洛,St. Nicholas de flue,3月21日
圣尼赛福禄-saint-1031302,圣尼赛福禄,君士坦丁堡宗主教 St. Niceohorus,3月13日
圣巴拉削-saint-1020301,圣巴拉削,主教殉道 St. Blaise,2月3日
圣巴斯卦-saint-1051701,圣巴斯卦,St. Paschal Baylon,5月17日
圣巴斯弟盎-saint-1012002,圣巴斯弟盎,殉道 St. Sebasian,1月20日
圣巴特利爵-saint-1031701,圣巴特利爵,St. Patrick,3月17日
圣布拉祺多-saint-1100502,圣布拉祺多,殉道 St. Placid,10月5日
圣希拉利-saint-1022801,圣希拉利,教宗 St. Hilarius,2月28日
圣庞大良-saint-1072702,圣庞大良,殉道 St. Pantaleon,7月27日
圣庞德诺-saint-1070701,圣庞德诺,St. Pantaenus,7月7日
圣弟拉诺、柴诺波等殉道-saint-1022002,圣弟拉诺、柴诺波等殉道,"Ss. Tyrannio, Zenobius & other Martyrs",2月20日
圣弟茂德及圣弟铎-saint-1012601,圣弟茂德及圣弟铎,St. Timothy & St. Titus,1月26日
圣弥额尔•加利古-saint-1051402,圣弥额尔•加利古,白太林圣心司铎会会祖 St. Michael Garicoits,5月14日
圣彭诺许-saint-1091102,圣彭诺许,主教 St. Paphnutius,9月11日
圣德尼斯-saint-1100901,圣德尼斯,"巴黎主教)、圣路帝古、圣爱留德路(殉道 Ss. Denis, Rusticus & Eleutherius",10月9日
圣德肋撒·加尔各答-saint-1090502,圣德肋撒·加尔各答,St. Teresa of Calcutta,9月5日
圣恩达（院长）、圣女芳佳（童贞）-saint-1032102,圣恩达（院长）、圣女芳佳（童贞）,St. Enda and St. Fanchea,3月21日
圣息拉-saint-1071302,圣息拉,St. Silas,7月13日
圣慕达-saint-1081201,圣慕达,St. Murtagh,8月12日
圣戴沃多西-saint-1011101,圣戴沃多西,St. Theodosius the Cenobiarch,1月11日
圣戴法纳-saint-1031201,圣戴法纳,院长 St. Theophanes the Chronicler,3月12日
圣拉匝禄-saint-1121701,圣拉匝禄,St. Lazarus,12月17日
圣撒巴-saint-1120501,圣撒巴,院长 St. Sabas -532,12月5日
圣撒比诺-saint-1020902,圣撒比诺,嘉诺沙主教 St. Sabinus,2月9日
圣撒比诺等殉道者-saint-1123001,圣撒比诺等殉道者,Ss. Sabinus and his Companions,12月30日
圣文策老-saint-1092801,圣文策老,殉道 St. Wenceslaus of Bohemia,9月28日
圣文都辣-saint-1071501,圣文都辣,St. Bonaventure,7月15日
圣斐德-saint-1042401,圣斐德,圣斐德理 St. Fidelis of Sigmaringen,4月24日
圣斐理、圣亚祷多-saint-1083001,圣斐理、圣亚祷多,殉道 Ss. Felix and Adauctus,8月30日
圣斐理伯•内利-saint-1052601,圣斐理伯•内利,斐理•乃立 St. Philip Neri,5月26日
圣斐理伯•贝尼谛-saint-1082302,圣斐理伯•贝尼谛,St. Philip Benizi,8月23日
圣斐理斯-saint-1051802,圣斐理斯,St. Felix Cantalice,5月18日
圣斐理斯•瓦洛亚-saint-1112001,圣斐理斯•瓦洛亚,圣三赎虏会会祖 St. Felix of Valois,11月20日
圣斯多米-saint-1121802,圣斯多米,院长 St. Sturmi,12月18日
圣斯德望-saint-1041702,圣斯德望,西笃修院院长西斯德会副会长 St. Stephen Harding,4月17日
圣斯德望-saint-1112901,圣斯德望,殉道 St. Stephen the Younger,11月29日
圣斯德望国王-saint-1081601,圣斯德望国王,St. Stephen of Hungary,8月16日
圣方济各•加辣巧洛-saint-1060401,圣方济各•加辣巧洛,末位神职界修会会祖 St. Francis Caracciolo,6月4日
